index,repoName,issueNumber,commentIndex,category,commentBody
760,elasticsearch,12683,0,[RC/PA],mention thank you for reporting this issue the underlying issue is that because of the analyzer you have configured the stop analyzer the query is parsed to the null query this issue helped us uncover a deeper bug in our handling of named queries that are null we will have a fix in place soon 
761,elasticsearch,13773,0,RC,this issue was happening in beta and does not have been reported since then closing 
762,elasticsearch,14223,0,PA,this inconsistency comes from x where the terms query would generate a bool query and the terms filter would generate a terms filter now that we merged both we have to accept the code parameter in all cases and i think the bug is that we don't fail when code is set while we are in a code context code is currently deprecated so that we can make the code query always generate a lucene termsquery instead of a booleanquery when used in a query context which i think is important for the predictability of the query dsl otherwise queries would have very different performance characteristics when used as a filter or a query would fail when there are more than clauses when used as a query and not a filter etc this will help remove the inconsistency as well when code is finally removed i agree the bool syntax is a bit verbose but i don't think that the terms query should be the solution maybe we can find ways to simplify the bool syntax when all sub queries are term queries
763,elasticsearch,14223,1,SD,min should match hasn't been documented in the terms query since let's deprecate it now and remove it in
764,elasticsearch,14223,2,SE,closing as minimum should match has been removed from terms query in: urlothers
765,elasticsearch,14453,0,SD,the value of home used when creating the elasticsearch user should probably be set to something other than home elasticsearch that exists and has executable permissions for the elasticsearch user in the interim you can just set home to something else like code to get your cron jobs running again 
766,elasticsearch,14453,1,SE,i just have the puppet role create home elasticseach its a packaging bug creating a user with the wrong home directory set either create the home directory or like you said set home to var lib elasticsearch or whatever 
767,elasticsearch,14453,2,SE,on it doesn't look like we're setting the home directory no urlothers is this user not a hangover from a previous installation
768,elasticsearch,14453,3,SE,if we don't set the home directory i think it defaults to whatever the base home directory is in etc default useradd plus the username so usually this ends up being code even for system users
769,elasticsearch,14453,4,PA,mention i don't think that the file has changed since at least urlothers before that it was using the specific scripts: urlothers i went ahead and installed es and es in reverse order onto a centos vm via code none of them created a code entry i cannot find where we may have created it at some point perhaps we never did
770,elasticsearch,14453,5,SD,reference in es an effort has been made to unify the behaviour of package install scripts among the different linux distributions and i think the change has been made at this time elasticsearch does not need any home directory to work so it is not created by the scripts depending of the distribution code does a bunch of things and among them it tries to change directory to user's home which does not exist you're not forced to code in order to run a cron job
771,elasticsearch,14453,6,[SE/PA],i don\'t know what the original version of es was installed on that cluster but somewhere along the line home elasticsearch was created it was a cron job failing on a redeploy that kicked out the message if it\'s not expected to create it then i guess it\'s not a bug if i look at most other system type users in rhel centos they normally set the homedir to in the passwd file or in the case of some services that store a lot of data their var dir debian seems to just create a home user dir for non data storing services tldr seems weird to create a user with a home directory that doesn\'t exist i\'d vote either create the dir to be consistent with debian or point it to to be consistent rhel 
772,elasticsearch,14453,7,PC, home elasticsearch is also useful to house java policy files as discussed here: urlothers
773,elasticsearch,14453,8,SD,just extend the code command by code please 
774,elasticsearch,14453,9,RC,guys are you planning first anniversary celebration because it is almost year old i have checked latest version rpm and it is still making mess in user configuration is this one liner fix so time consuming the bug which was closed as duplicate was actually better titled because the problem is not that home directory is not being created but because the correct one is undefined during user creation in rpm jakefromthedark solution is correct the other is similar but with var lib elasticsearch set as home dir pretty please with a sugar on top fix it :
775,elasticsearch,14453,10,PA,the issue is still prevalent in elasticsearch x where the code user is created with a non existing home directory code confirmed with package code on centos please re open this issue 
776,elasticsearch,14453,11,PC,mention it was an intentional decision to explicitly not create the home dir as code is a system user please don't run cron with the code user
777,elasticsearch,14453,12,[PC/PR],although i'm not sure setting an invalid home directory is the right way to prevent nudge users not to run cron with the code user i do understand now why you wouldn't want that happening thank you for your reply i will discontinue using the code user for our code cron jobs
778,elasticsearch,14573,0,PC,you're specifying the custom config file location incorrectly see urlothers
779,elasticsearch,14573,1,RC,hi mention thanks for quick response as you can see from the description i've provided i was using option ddefault path conf i tried again same command with option path conf there was no exception because of config access issue but i had to specify also path data and path logs because for some reason those settings were ignored in the config i've provided in my config i also specify nonstandard ports to use and those settings are also not used any advise what can be wrong thanks kirill
780,elasticsearch,14573,2,RO,looks like config is ignored completely if i specify all options via command line i still get exception like above: pre sudo u elasticsearch usr share elasticsearch bin elasticsearch path conf etc tribe elasticsearch path logs var log elasticsearch path data var lib elasticsearch transport tcp port urlothers network host tribels cluster name logstash data tribe els discovery zen ping multicast enabled false tribe els discovery zen ping unicast hosts log j:warn no appenders could be found for logger bootstrap log j:warn please initialize the log j system properly log j:warn see urlothers for more info exception in thread main java security accesscontrolexception: access denied java io filepermission usr share elasticsearch config elasticsearch yml read at java security accesscontrolcontext checkpermissionaccesscontrolcontext java: at java security accesscontroller checkpermissionaccesscontroller java: at java lang securitymanager checkpermissionsecuritymanager java: at java lang securitymanager checkreadsecuritymanager java: at sun nio fs unixpath checkreadunixpath java: at sun nio fs unixfilesystemprovider checkaccessunixfilesystemprovider java: at java nio file files existsfiles java: at org elasticsearch node internal internalsettingspreparer prepareenvironmentinternalsettingspreparer java: at org elasticsearch node node init node java: at org elasticsearch node nodebuilder buildnodebuilder java: at org elasticsearch tribe tribeservice init tribeservice java: at sun reflect nativeconstructoraccessorimpl newinstance native method at sun reflect nativeconstructoraccessorimpl newinstancenativeconstructoraccessorimpl java: at sun reflect delegatingconstructoraccessorimpl newinstancedelegatingconstructoraccessorimpl java: at java lang reflect constructor newinstanceconstructor java: at guice at org elasticsearch node node init node java: at org elasticsearch node nodebuilder buildnodebuilder java: at org elasticsearch bootstrap bootstrap setupbootstrap java: at org elasticsearch bootstrap bootstrap initbootstrap java: at org elasticsearch bootstrap elasticsearch mainelasticsearch java: pre 
781,elasticsearch,14573,3,RC,thanks for persisting i've managed to replicate this and it is indeed a bug when the tribe node attempts to instantiate a node for the tribe service it checks for access to the config directory but that setting is no longer available to it and so it defaults to checking for path home this can be replicated with a simple config file saved as code : codearea start elasticsearch as: codearea and it fails with: codearea
782,elasticsearch,14573,4,NT,mention could you take a look at this please 
783,elasticsearch,14573,5,[PA/SD],i had a look at this only selected settings are forwarded to the inner tribe clients from the tribe node code is one of them but code is not that said if i remember correctly the tribe clients shouldn't read from configuration file and sysprops but only inherit a few settings from the parent node like it happens in code something that we had enforced with i think something got lost with where code was removed which was our way to prevent loading anything from the config file with that set to code i believe we wouldn't even check for the existence of the file thus we wouldn't need any permission for that at this point it seems to me that we would have to forward code to the tribe clients just because we are going to check for its existence at some point although we have nothing to load from it otherwise we check for path home that we have no permissions for i think i'd need mention to verify if what i explained makes any sense it might be that i overlooked something
784,elasticsearch,14573,6,PC,if i understand the tribe node correctly it is no different than any other client node well creating multiple client nodes internally so to me it should be passing along any settings it needs to configure the node including code however i'm not sure what this has to do with the transport client the transport client by definition now does not use the config file settings and the stack trace shown above indicates the exception was from building a node not a transport client
785,elasticsearch,14573,7,[PC/SE],reference mention it doesn\'t have to do directly with the transport client but the inner tribe nodes have a similar requirement when it comes to loading from config file they should not be reading out of the config file but only inherit some selected settings from their parent node the actual tribe node and that is why we were previously setting code to code which is now removed though if my analysis is correct security manager barfs because we check if the config file exists while creating inner client nodes as part of code but we shouldn\'t need to read from that file at that point anyway i could forward the code setting to the client nodes too but i feel it is not the right fix given that we should not be reading from that file nor check if it exists not sure what the right fix is though 
786,elasticsearch,14573,8,PA,i looked deeper i can confirm this is not just a problem around passing in the right code to the inner nodes the inner client nodes must not read from the main configuration file something that was fixed in the option to not load from config settings for a node was though removed with i had expected code to fail after that change but it doesn't unfortunately if you try setting for instance code in the configuration file the tribe node will get that port but the inner nodes will try to get that one too and will fail the inner nodes should only get some selected settings from their parent node but never read from config file or system properties
787,elasticsearch,14573,9,PC, removing the path conf did not resolve the issue the config used codearea
788,elasticsearch,14573,10,SD,there is a workaround for this bug assuming your tribe config directory is code : codearea then edit code and specify a code for each tribe cluster eg: codearea then start elasticsearch as: codearea the tribe node will use code as its config directory then the tribe node starts a node client for each cluster and will use code as its config directory but code is empty so no settings will be loaded 
789,elasticsearch,14573,11,SE,workaround above works the only caveat is that depending on where the additional empty configuration file is located we might not have the permissions to read from it i think it should work if we simply add an empty configuration file under the tribe node config and point right to it not only specifying its parent directory but the complete path that includes the filename: codearea
790,elasticsearch,14573,12,RC,ran into this last night when attempting to set up a tribe node on this will also affect users who attempt to set a custom transport tcp port for the tribe node in this case setting a custom transport tcp port for the tribe node causes a misleading code exception when the port specified is not actually already in use codearea settings for the clusters: codearea and codearea the problem is that the tribe node will not start up as long as i have the transport tcp port: in place if i don't set a custom transport port for the tribe node it starts up fine and can connect with the clusters the following is the error that shows up when i attempt to set transport tcp port for the tribe node note that prior to starting the tribe node i used lsof to confirm that there's no process on the machine using port and it doesn't matter what port i set it to as long as transport tcp port is set for the tribe node it will throw the same bind exception codearea note that i cannot reproduce this on on i can set up a custom transport tcp port for the tribe node and it will start up fine
791,elasticsearch,14573,13,PA,mention this happens because the tribe node process will start three nodes the first one will get the configured port and the second will try to get the same one as it reads from the same configuration file the workaround provided by clint above should work till we fix this properly 
792,elasticsearch,14573,14,SD,mention i am going to explore having the tribe node have its own subclass of node which can customize this single behavior how to get the node's settings i don't think we should add back this general purpose flag as we need to keep the tons of ways nodes can be configured to a minimum
793,elasticsearch,14573,15,NT,mention thanks that sounds good to me 
794,elasticsearch,14573,16,SE,confirmed that the workaround works to prevent the bindtransportexception error thx 
795,elasticsearch,14573,17,PI,mention do we have a sense of whether the fix will make it to the upcoming release or will it likely be after i e use the workaround until a later x release 
796,elasticsearch,14573,18,PA,mention definitely after i would not want to destabilize with a refactoring like this 
797,elasticsearch,14573,19,NT,mention sounds good thx 
798,elasticsearch,14573,20,SD,this requires some fairly extensive changes so we will target this for in the meantime we should document the workaround in the docs 
799,elasticsearch,14573,21,SD,i opened a pr to fix this here: note that i was able to do the fix simply enough that i think it will be ok to backport to x
800,elasticsearch,14573,22,NT,thanks mention thanks mention
801,elasticsearch,14573,23,NT,thanks mention 
802,elasticsearch,14573,24,RC,i\'m late to the party but thought this might be useful for anyone coming across this i found that the dummy config file isn\'t needed to work around the issue instead for creating a new directory etc tribe client in the example path conf can reference the current configuration directory using the above example where the config directory was etc tribe arbitrary config transport tcp port: urlothers network host: path data: var lib elasticsearch path logs: var log elasticsearch tribe: kibana: path conf: etc tribe cluster name: logstash kibana discovery zen ping multicast enabled: false discovery zen ping unicast hosts: els: path conf: etc tribe cluster name: logstash data discovery zen ping multicast enabled: false discovery zen ping unicast hosts: 
803,elasticsearch,14573,25,RR,is this fixed in 
804,elasticsearch,14573,26,RO,with v i still have to specify path conf and i used the valid path as mentioned above by lb in my case i also had to specify path plugins for similar reason otherwise i kept getting accesscontrolexception error i did not have to specify both path conf and path plugins when i was using v 
